time_s,NTP,NXP,nt,A,T,AT,a,CP,C,TLcat,D_nt,D_TLcat,V_TX,V_nt_deg,V_RS,V_TL,V_TL_deg,V_EN,mRNA,protein,diag_tau_M,diag_tau_A,diag_tau_NTP,diag_tau_T,diag_tau_slow_state,diag_epsilon_state,diag_dh_dt,diag_tau_slow_track,diag_epsilon_track
6170,1359.38162944633,0.179633152252184,444.704796062413,291.476191162862,0.0346971604844441,1.86530283951556,84.6722461249579,19660.3589641597,339.641035840338,0.698260777242012,117.589052999973,1.50173922275798,0.0908884752194461,0.0352206198481431,0.0119238100354049,0.0117282404047247,0.000129876504567014,0.035405836542299,0.62283584882691,0.355765740020832,0.00060410203337317,503194.866589212,66033.5301928303,446899.652548469,66033.5301928303,9.14841341374721e-09,-1.32418118740292e-07,1208293.86130914,4.99962842415376e-10
6180,1359.15447316027,0.179377765386176,445.261250009649,291.470233439308,0.0346546490702796,1.86534535092972,84.78944507098,19660.0051564097,339.994843590321,0.696963219299346,117.941479583862,1.50303678070065,0.0908876309622801,0.0352646910007642,0.011907085522945,0.0117115503662444,0.000129635158789678,0.0353557179068152,0.623615196091945,0.356258172567143,0.000604108027013639,503901.646497583,66034.1335441745,446978.443543303,66034.1335441745,9.1484205908375e-09,-1.32394572945403e-07,1208508.75107985,4.99878901558506e-10
6190,1358.92731894989,0.179122519665746,445.817254979311,291.464284075969,0.0346121452949632,1.86538785470504,84.9064771641031,19659.6518497109,340.348150289076,0.695668072571316,118.294346701459,1.50433192742868,0.090886786446275,0.0353087265943614,0.0118903691999344,0.0116948698444102,0.000129394261498265,0.0353056263575048,0.62439391453685,0.356749904050853,0.000604114019602235,504610.06711501,66034.7369954109,447060.297286659,66034.7369954109,9.14842773802851e-09,-1.32371051777977e-07,1208723.49241709,4.99795051053558e-10
6200,1358.70016681549,0.178867416451088,446.372811324261,291.458343068723,0.0345696494458575,1.86543035055414,85.0233424999607,19659.2990437911,340.700956208922,0.694375332577251,118.647653997313,1.50562466742274,0.090885941671313,0.0353527266568814,0.0118736611618987,0.0116781989248904,0.000129153811859369,0.0352555621622615,0.625172004655827,0.357240934873784,0.000604120011134854,505320.12983945,66035.3405473722,447145.19457925,66035.3405473722,9.14843485514355e-09,-1.32347555299325e-07,1208938.08456178,4.99711291131867e-10
6210,1358.47301675739,0.178612457091136,446.927919397079,291.452410413404,0.0345271618082287,1.86547283819177,85.1400411750185,19658.9467383752,341.053261624786,0.693084994844794,119.001401116253,1.5069150051552,0.0908850966372761,0.0353966912162487,0.0118569615035752,0.0116615376926154,0.000128913809041132,0.0352055255867831,0.625949466942688,0.357731265441254,0.000604126001607433,506031.836081342,66035.9442009527,447233.116429119,66035.9442009527,9.14844194199797e-09,-1.32324083569846e-07,1209152.52676242,4.99627622021366e-10
6220,1358.2458687759,0.17835764292428,447.482579550067,291.446486105799,0.0344846826653218,1.86551531733468,85.2565732865404,19658.5949331859,341.405066814092,0.691797054909876,119.355587703387,1.50820294509012,0.0908842513440465,0.0354406203003653,0.0118402703189389,0.0116448862317824,0.000128674252213237,0.0351555168947101,0.626726301890851,0.358220896161934,0.000604131991015948,506745.187261744,66036.5479571679,447324.043999513,66036.5479571679,9.14844899839093e-09,-1.32300636648882e-07,1209366.8182764,4.99544043946041e-10
6230,1358.01872287134,0.178102975276735,448.036792135246,291.440570141649,0.034442212298212,1.86555778770179,85.372938932653,19658.243627943,341.756372056965,0.690511508316736,119.710213404103,1.50948849168326,0.0908834057915062,0.0354845139371115,0.0118235877011524,0.0116282446258613,0.000128435140546913,0.0351055363473072,0.627502509993341,0.358709827448122,0.000604137979356413,507460.18481485,66037.1518169532,447417.958736225,66037.1518169532,9.14845602413333e-09,-1.32277214595268e-07,1209580.95836502,4.99460557128e-10
6240,1357.79157904402,0.177848455463263,448.590557504355,291.434662516648,0.0343997509858808,1.86560024901412,85.4891382123109,19657.8928223639,342.10717763612,0.689228350617891,120.065277864065,1.5107716493821,0.0908825599795371,0.0355283721543449,0.0118069137425928,0.0116116129576,0.000128196473214928,0.0350555842036035,0.628278091742794,0.359198059715592,0.000604143966624882,508176.830186824,66037.7557812362,447514.842314706,66037.7557812362,9.14846301903769e-09,-1.32253817467142e-07,1209794.94629522,4.99377161786766e-10
6250,1357.56443729428,0.17759408478726,449.143876008857,291.428763226443,0.0343572990052311,1.86564270099477,85.6051712252894,19657.5425161632,342.457483836841,0.687947577374121,120.420780729218,1.51205242262587,0.0908817139080211,0.0355721949799014,0.0117902485348575,0.0115949913090289,0.000127958249391587,0.0350056607204102,0.629053047631452,0.359685593383569,0.000604149952817447,508895.124836507,66038.3598509507,447614.676635503,66038.3598509507,9.1484699829163e-09,-1.32230445321899e-07,1210008.78134002,4.99293858139097e-10
6260,1357.33729762243,0.177339864539879,449.696747999931,291.422872266634,0.0343148566309767,1.86568514336903,85.7210380722489,19657.1927090528,342.807290947182,0.686669184154492,120.776721645784,1.5133308158455,0.0908808675768401,0.0356159824415946,0.0117735921687265,0.0115783797614674,0.000127720468252735,0.0349557661521481,0.629827378151164,0.360172428874995,0.000604155937930244,509615.070236384,66038.9640269161,447717.443922381,66038.9640269161,9.14847691559793e-09,-1.32207098216585e-07,1210222.46277491,4.9921064640048e-10
