time_s,V_TX_uM_s,V_nt_deg_uM_s,V_RS_uM_s,V_TL_uM_s,V_TL_deg_uM_s,V_EN_uM_s,D_nt_uM,D_TLcat_uM
8050,0.0401119249317508,0.0189343837439796,0.00650502147572243,0.00648874321204194,9.15517177824278e-05,0.0194966355496273,84.3038777056853,1.70778646353534
8060,0.0401117737185196,0.0189511496565353,0.00649574162745129,0.0064794761864657,9.13815898554685e-05,0.0194688105232219,84.4933053838549,1.70870112980931
8070,0.0401116224855914,0.018967902176024,0.00648646901978289,0.00647021644585698,9.12117780723484e-05,0.0194410072690976,84.6829006541758,1.70961409638523
8080,0.0401114712329621,0.0189846413130332,0.00647720367803092,0.00646096401514686,9.10422818455842e-05,0.0194132258627621,84.8726633827703,1.71052536642159
8090,0.040111319960628,0.0190013670781419,0.00646794562729737,0.00645171891905569,9.08731005887842e-05,0.0193854663790903,85.0625934358666,1.71143494307106
8100,0.040111168668585,0.019018079481921,0.00645869489247387,0.00644248118209422,9.07042337166451e-05,0.0193577288923283,85.2526906797983,1.71234282948041
8110,0.0401110173568292,0.0190347785349328,0.006449451498243,0.00643325082856482,9.0535680644951e-05,0.0193300134760973,85.442954981005,1.71324902879059
8120,0.0401108660253569,0.0190514642477313,0.00644021546907962,0.0064240278825626,9.03674407905705e-05,0.0193023202033973,85.6333862060317,1.71415354413672
8130,0.0401107146741639,0.0190681366308623,0.00643098682925222,0.00641481236797656,9.01995135714548e-05,0.0192746491466116,85.8239842215288,1.7150563786481
8140,0.0401105633032465,0.0190847956948629,0.00642176560270927,0.00640560430849535,9.00318984066992e-05,0.0192470003771899,86.0147488942533,1.71595753544786
8150,0.0401104119126006,0.019101441450262,0.00641255181327692,0.00639640372760053,8.98645947164325e-05,0.0192193739661996,86.2056800910669,1.71685701765359
8160,0.0401102605022224,0.0191180739075804,0.00640334548466837,0.00638721064856742,8.96976019218106e-05,0.0191917699843524,86.3967776789353,1.71775482837736
8170,0.0401101090721081,0.0191346930773303,0.00639414664032324,0.00637802509447264,8.95309194451036e-05,0.0191641885015567,86.5880415249304,1.71865097072525
8180,0.0401099576222535,0.0191512989700158,0.0063849553034798,0.00636884708819243,8.93645467096546e-05,0.019136629587119,86.7794714962289,1.71954544779756
8190,0.0401098061526549,0.0191678915961323,0.00637577149717623,0.00635967665240376,8.91984831398777e-05,0.0191090933097481,86.9710674601126,1.72043826268883
8200,0.0401096546633084,0.0191844709661674,0.0063665952442519,0.00635051380958543,8.90327281612558e-05,0.0190815797375586,87.1628292839682,1.72132941848787
8210,0.04010950315421,0.0192010370906,0.00635742656734862,0.00634135858201918,8.88672812003387e-05,0.0190540889380745,87.3547568352872,1.72221891827775
8220,0.0401093516253557,0.0192175899799008,0.00634826548891189,0.00633221099179075,8.87021416847409e-05,0.0190266209782335,87.546849981666,1.7231067651358
8230,0.0401092000767418,0.0192341296445323,0.00633911203119218,0.00632307106079105,8.85373090431397e-05,0.01899917592439,87.7391085908053,1.72399296213366
8240,0.0401090485083642,0.0192506560949486,0.0063299662162462,0.00631393881071713,8.83727827052727e-05,0.0189717538423198,87.9315325305106,1.72487751233725
8250,0.0401088969202191,0.0192671693415956,0.00632082806574914,0.00630481426308043,8.82085621020332e-05,0.01894435479664,88.1241216686937,1.72576041880628
8260,0.0401087453123026,0.0192836693949107,0.00631169760141384,0.00629569743919214,8.80446466652537e-05,0.0189169788521023,88.3168758733683,1.72664168459541
8270,0.0401085936846107,0.0193001562653234,0.00630257484475666,0.00628658836017312,8.78810358278241e-05,0.0188896260728707,88.509795012653,1.72752131275364
8280,0.0401084420371395,0.0193166299632548,0.00629345981705141,0.00627748704695673,8.77177290237145e-05,0.0188622965223792,88.7028789547708,1.72839930632412
8290,0.0401082903698851,0.0193330904991177,0.00628435253938247,0.00626839352028788,8.75547256879463e-05,0.0188349902634954,88.8961275680488,1.72927566834438
8300,0.0401081386828437,0.0193495378833166,0.00627525303264601,0.00625930780072414,8.73920252565899e-05,0.0188077073585242,89.0895407209184,1.73015040184629
8310,0.0401079869760112,0.0193659721262479,0.00626616131755117,0.00625022990863677,8.72296271667632e-05,0.0187804478692113,89.2831182819148,1.73102350985611
8320,0.0401078352493838,0.0193823932382997,0.00625707741462122,0.00624115986421174,8.7067530856629e-05,0.0187532118567467,89.4768601196773,1.73189499539447
8330,0.0401076835029576,0.0193988012298518,0.00624800134419477,0.00623209768745078,8.69057357653934e-05,0.0187259993817684,89.6707661029488,1.73276486147638
8340,0.0401075317367286,0.0194151961112759,0.00623893312642695,0.00622304339817238,8.67442413333036e-05,0.0186988105043658,89.8648361005762,1.73363311111127
