time_s,NTP,NXP,nt,A,T,AT,a,CP,C,TLcat,M,D_nt,D_TLcat,V_TX,V_nt_deg,V_RS,V_TL,V_TL_deg,V_EN,mRNA,protein,diag_tau_M,diag_tau_A,diag_tau_NTP,diag_tau_T,diag_tau_slow_state,diag_epsilon_state,diag_dh_dt,diag_tau_slow_track,diag_epsilon_track
7000,1429.65944085202,0.113811414806005,215.874794218606,292.726282790578,0.0208814088924873,1.87911859110752,59.035033039277,19736.569257106,263.430742893971,0.598372003136295,0.00785595816268507,65.3737750003233,1.6016279968637,0.0401276936319085,0.0170972837021136,0.00756243389665469,0.0074463750710405,0.000111297192583351,0.0224700023515094,0.302345650166114,0.248046357307887,0.000602755447087646,793401.816728956,149578.137966848,753066.382823324,149578.137966848,4.02970283813294e-09,-6.14978437502937e-08,2601717.23499226,2.31676001903965e-10
7010,1429.5591589986,0.113663252931418,216.105006395928,292.722504036534,0.0208561796514492,1.87914382034856,59.1094481899927,19736.3447029469,263.65529705308,0.59726006563298,0.00785534325087421,65.544839013499,1.60273993436702,0.0401275444645483,0.0171155165065575,0.00755270562560066,0.00743665556229241,0.000111090372207734,0.0224408307977655,0.302668076184774,0.248359026008373,0.000602758327591337,794423.765758754,149578.678250081,753123.242749577,149578.678250081,4.02970754015879e-09,-6.14845183128805e-08,2602281.10084228,2.31626908943943e-10
7020,1429.45887750731,0.113515134138436,216.33503482621,292.718730146051,0.0208309523983748,1.87916904760163,59.183766160778,19736.1204404621,263.87955953787,0.596150194411177,0.00785472847227344,65.7160852819457,1.60384980558882,0.0401273952779068,0.0171337347582358,0.00754297963269424,0.00742693909545269,0.000110883936160479,0.0224116675201436,0.302990244854636,0.248671286389823,0.000602761207536515,795448.110603271,149579.218289059,753185.068577078,149579.218289059,4.02971224499709e-09,-6.14712017420841e-08,2602844.83572186,2.31577848692371e-10
7030,1429.35859637799,0.113367059282709,216.564879654728,292.714961117977,0.0208057272987878,1.87919427270122,59.2579869823181,19735.8964695681,264.103530431927,0.595042385631166,0.00785411382679386,65.8875136601932,1.60495761436883,0.0401272460719801,0.0171519384686545,0.00753325597714854,0.0074172257249331,0.000110677883727397,0.0223825126872702,0.303312156379171,0.248983138581169,0.000602764086920614,796474.853352059,149579.758085984,753251.831580246,149579.758085984,4.02971695257137e-09,-6.14578940882573e-08,2603408.43716887,2.31528821338576e-10
7040,1429.25831561048,0.113219029214103,216.794541026645,292.711196951129,0.0207805045171749,1.87921949548283,59.3321106858386,19735.6727901795,264.327209820512,0.593936635460361,0.00785349931434605,66.0591240028864,1.60606336453964,0.0401270968467641,0.0171701276493102,0.00752353471778251,0.0074075155047759,0.000110472214195627,0.0223533664666374,0.303633810961687,0.249294582713607,0.00060276696574109,797503.996110896,149580.297643068,753323.503366814,149580.297643068,4.02972166280499e-09,-6.14445954013439e-08,2603971.90273468,2.31479827070356e-10
7050,1429.15803520462,0.113071044776166,217.024019087007,292.707437644291,0.0207552842168929,1.87924471578311,59.406137303164,19735.4494022092,264.550597790739,0.592832940073368,0.00785288493484003,66.2309161647854,1.60716705992663,0.040126947602255,0.0171883023116909,0.00751381591298725,0.00739780848865703,0.000110266926853646,0.0223242290244987,0.303955208805332,0.249605618920857,0.000602769843995421,798535.541003667,149580.83696218,753400.056113717,149580.83696218,4.02972637563075e-09,-6.14313057311581e-08,2604535.22997229,2.31430866075033e-10
7060,1429.05775516025,0.11292310680736,217.253313980747,292.703683196223,0.0207300665603826,1.87926993343962,59.4800668665821,19735.2263055688,264.773694431161,0.591731295651819,0.00785227068818543,66.4028900007646,1.60826870434818,0.0401267983384486,0.0172064624672752,0.00750409962080405,0.00738810472988564,0.000110062020991238,0.0222951005261101,0.304276350113091,0.24991624733858,0.000602772721681101,799569.49016784,149581.376045583,753481.462054038,149581.376045583,4.02973109097093e-09,-6.14180251268104e-08,2605098.41646075,2.31381938537286e-10
7070,1428.9574754772,0.112775216140364,217.482425852683,292.699933605653,0.0207048517090492,1.87929514829096,59.5538994089197,19735.003500168,264.996499832002,0.590631698384451,0.00785165657429134,66.5750453658135,1.60936830161555,0.0401266490553411,0.0172246081275325,0.00749438589888086,0.00737840428140769,0.000109857495899508,0.0222659811355952,0.304597235087792,0.250226468104704,0.000602775598795644,800605.845756703,149581.914895475,753567.693778815,149581.914895475,4.0297358087497e-09,-6.14047536370661e-08,2605661.45978995,2.3133304464051e-10
7080,1428.85719615531,0.112627373602111,217.711354847518,292.696188871284,0.0206796398232668,1.87932036017674,59.6276349635396,19734.7809859148,265.219014085146,0.589534144467092,0.00785104259306638,66.7473821150361,1.61046585553291,0.0401264997529284,0.0172427393039234,0.00748467480447426,0.00736870719580788,0.000109653350870879,0.0222368710159497,0.304917863932098,0.25053628135941,0.000602778475336588,801644.60993878,149582.453513968,753658.724234243,149582.453513968,4.02974052889365e-09,-6.13914913103629e-08,2606224.35755998,2.31284184566875e-10
7090,1428.75691719444,0.112479580013904,217.94010110984,292.692448991787,0.0206544310623992,1.87934556893761,59.7012735643272,19734.5587627159,265.441237284097,0.588438630102637,0.00785042874441869,66.919900103651,1.61156136989736,0.0401263504312065,0.0172608560078993,0.00747496639445713,0.0073590135253115,0.00010944958519909,0.0222077703290661,0.305238236848515,0.250845687245072,0.000602781351301485,802685.784899911,149582.991903231,753754.526679609,149582.991903231,4.02974525132803e-09,-6.13782381947106e-08,2606787.10738537,2.3123535849695e-10
7100,1428.65663859442,0.112331836191449,218.168664784123,292.688713965807,0.0206292255848061,1.8793707744152,59.7748152456865,19734.336830476,265.663169523967,0.587345151501035,0.00784981502825593,67.0925991869911,1.61265484849896,0.0401262010901716,0.0172789582509025,0.007465260725321,0.00734932332178645,0.000109246198179193,0.0221786792357395,0.305558354039388,0.251154685906246,0.000602784226687911,803729.372839629,149583.530065365,753855.074682216,149583.530065365,4.02974997598003e-09,-6.1364994337778e-08,2607349.70689144,2.31186566610035e-10
7110,1428.55636035509,0.112184142944813,218.397046014726,292.684983791958,0.0206040235478353,1.87939597645217,59.8482600425452,19734.1151890985,265.88481090149,0.586253704879289,0.00784920144448526,67.2654792205041,1.61374629512071,0.0401260517298196,0.0172970460443663,0.00745555785317347,0.00733963663674531,0.000109043189107548,0.0221495978956594,0.305878215706899,0.251463277489686,0.00060278710149346,804775.375974567,149584.068002466,753960.342144655,149584.068002466,4.02975470277705e-09,-6.13517597868542e-08,2607912.15371597,2.31137809084005e-10
7120,1428.45608247632,0.112036501077981,218.625244945894,292.681258468825,0.0205788251077452,1.87942117489226,59.921607990404,19733.8938384848,266.106161515178,0.585164286461497,0.00784858799301333,67.4385400597517,1.6148357135385,0.0401259023501466,0.0173151193997148,0.00744585783371013,0.00732995352134834,0.000108840557281838,0.0221205264673221,0.306197822053073,0.251771462144555,0.000602789975715746,805823.796539239,149584.605716301,754070.303503348,149584.605716301,4.02975943165557e-09,-6.13385345891042e-08,2608474.44549843,2.31089086096285e-10
7130,1428.35580495794,0.111888911390328,218.853261721759,292.677537994971,0.0205536304199622,1.87944636958004,59.9948591251714,19733.6727785352,266.327221464806,0.584076892478658,0.00784797467374643,67.6117815604098,1.61592310752134,0.0401257529511485,0.0173331783283633,0.00743616072230822,0.00732027402640241,0.00010863830200103,0.0220914651083209,0.306517173279774,0.252079240021729,0.000602792849352401,806874.63677911,149585.143209152,754184.933109427,149585.143209152,4.02976416253831e-09,-6.13253187909074e-08,2609036.57990805,2.31040397821346e-10
7140,1428.25552779981,0.111741374675388,219.081096486336,292.673822368927,0.0205284396388656,1.87947156036114,60.068013483302,19733.4520091481,266.547990851843,0.582991519168818,0.00784736148659032,67.7852035782685,1.61700848083118,0.0401256035328214,0.0173512228417178,0.00742646657394854,0.00731059820236555,0.0001084364225654,0.0220624139751036,0.306836269588706,0.252386611274378,0.000602795722401077,807927.89895671,149585.680483077,754304.20576335,149585.680483077,4.02976889535407e-09,-6.13121124384372e-08,2609598.55461927,2.30991744432899e-10
7150,1428.15525100177,0.111593891721249,219.308749383529,292.670111589199,0.0205032529178561,1.87949674708215,60.1410711017518,19733.2315302207,266.768469779313,0.581908162777016,0.00784674843145033,67.9588059692316,1.61809183722298,0.0401254540951614,0.0173692529511755,0.00741677544324074,0.00730092609934818,0.000108234918276525,0.0220333732230501,0.307155111181413,0.252693576057781,0.000602798594859445,808983.585350667,149586.21754016,754428.096554913,149586.21754016,4.02977363003118e-09,-6.12989155774748e-08,2610160.36731969,2.30943126103184e-10
7160,1428.05497456368,0.111446463310584,219.536220557126,292.666405654265,0.0204780704093622,1.87952192959064,60.2140320179748,19733.0113416482,266.988658351783,0.580826819555262,0.00784613550823131,68.1325885893173,1.61917318044474,0.0401253046381644,0.0173872686681244,0.00740708738442552,0.00729125776711496,0.000108033788437279,0.0220043430064789,0.30747369825928,0.253000134529306,0.000602801466725193,810041.69825376,149586.754382442,754556.58085846,149586.754382442,4.0297783664992e-09,-6.12857282534555e-08,2610722.01570809,2.30894543003154e-10
7170,1427.9546984854,0.111299090220691,219.763510150802,292.662704562575,0.0204528922648455,1.87954710773516,60.2868962699188,19732.7914433246,267.208556675353,0.579747485762533,0.00784552271683769,68.3065512946573,1.62025251423747,0.0401251551618266,0.0174052700039435,0.00739740245137687,0.00728159325508676,0.000107833032351831,0.0219753234786535,0.307792031023532,0.253306286848399,0.00060280433799603,811102.239974051,149587.291011964,754689.634327973,149587.291011964,4.0297831046878e-09,-6.12725505114411e-08,2611283.49749574,2.3084599530236e-10
