time_s,time_h,NTP_uM,NXP_uM,nt_uM,A_uM,T_uM,AT_uM,a_uM,CP_uM,C_uM,TLcat_uM,D_nt_uM,D_TLcat_uM,mRNA_molecules_uM,protein_molecules_uM
2930,0.813888888888889,1470.50866599465,0.157907454158596,105.13514409197,294.552303425226,0.00395063991426822,1.89604936008573,21.7356609315046,19847.7326541262,152.267345873745,1.27567743664784,12.6722844752547,0.924322563352162,0.147248100969145,0.0913263064348933
2940,0.816666666666667,1470.40819057614,0.157941323381154,105.453618729976,294.547113131305,0.00395155912084803,1.89604844087915,21.839509093441,19847.4211857931,152.578814206829,1.27330688191506,12.7556776420731,0.926693118084942,0.147694143879518,0.0917626432497519
2950,0.819444444444444,1470.30771590249,0.157973630072176,105.771839819563,294.541921720159,0.00395243871696432,1.89604756128304,21.9433777777744,19847.1096525083,152.890347491717,1.27094073231609,12.8393229403865,0.929059267683915,0.14813983168006,0.0921990662931697
2960,0.822222222222222,1470.20724197104,0.158004385085825,106.089807561288,294.536729243027,0.00395327897617669,1.89604672102382,22.0472659723329,19846.7980573315,153.201942668455,1.26857897966494,12.9232201694638,0.931421020335059,0.148585164651664,0.092635571312323
2970,0.825,1470.10676877913,0.158033599204065,106.40752215555,294.531535750778,0.00395408017026017,1.89604591982974,22.1511726722411,19846.4864033008,153.513596699134,1.2662216157909,13.007369128733,0.933778384209102,0.149030143075001,0.0930721540850468
2980,0.827777777777778,1470.00629632412,0.158061283140368,106.724983802591,294.526341293928,0.00395484256928726,1.89604515743071,22.2550968795964,19846.1746934331,153.825306566908,1.26386863253841,13.0917696177805,0.936131367461592,0.149474767230519,0.0935088104184722
2990,0.830555555555556,1469.9058246034,0.158087447540247,107.04219270249,294.521145922644,0.00395556644164068,1.89604443355836,22.3590376034194,19845.8629307241,154.137069275849,1.26152002176708,13.1764214363514,0.938479978232925,0.149919037398445,0.093945536148821
3000,0.833333333333333,1469.80535361437,0.158112102980896,107.359149055171,294.515949686739,0.00395625205400692,1.89604374794599,22.4629938596758,19845.551118149,154.448881851009,1.25917577535164,13.261324384349,0.940824224648365,0.150362953858783,0.0943823271414951
3010,0.836111111111111,1469.70488335445,0.158135259962488,107.675853060399,294.510752635644,0.00395689967118853,1.89604310032881,22.5669646719646,19845.2392586595,154.760741340503,1.25683588518205,13.3464782618353,0.943164114817956,0.150806516891316,0.0948191792939687
3020,0.838888888888889,1469.60441382106,0.158156928933569,107.992304917781,294.505554818505,0.00395750955665645,1.89604249044334,22.6709490694832,19844.9273551906,155.072644809356,1.25450034316314,13.4318828690301,0.94549965683686,0.151249726775604,0.0952560885272403
3030,0.841666666666667,1469.50394501166,0.158177120270595,108.308504826764,294.500356284102,0.00395808197210717,1.89604191802789,22.7749460886552,19844.6154106555,155.384589344424,1.25216914121488,13.5175380063112,0.947830858785127,0.151692583790987,0.0956930507926689
3040,0.844444444444444,1469.40347692371,0.158195844284303,108.62445298664,294.495157080877,0.00395861717760224,1.8960413828224,22.8789547726142,19844.3034279471,155.696572052835,1.24984227127221,13.6034434742144,0.950157728727794,0.152135088216583,0.0961300620698077
3050,0.847222222222222,1469.3030095547,0.158213111220216,108.940149596541,294.489957256934,0.00395911543158042,1.89604088456842,22.9829741711572,19843.9914099381,156.008590061845,1.24751972528509,13.6895990734332,0.952480274714917,0.15257724033129,0.0965671183662065
3060,0.85,1469.20254290212,0.158228931259142,109.255594855442,294.484756860043,0.00395957699086978,1.89604042300913,23.0870033406972,19843.6793594813,156.320640518699,1.24520149521841,13.7760046048189,0.954798504781594,0.153019040413785,0.0970042157172152
3070,0.852777777777778,1469.10207696349,0.158243314509917,109.570788962161,294.47955593761,0.00396000211049945,1.8960399978895,23.1910413448641,19843.3672794075,156.632720592446,1.24288757305211,13.8626598693803,0.957112426947893,0.153460488742522,0.0974413501885047
3080,0.855555555555556,1469.00161173633,0.158256271023962,109.885732115356,294.474354536736,0.00396039104407467,1.89603960895592,23.2950872532854,19843.0551725297,156.944827470251,1.24057795078093,13.9495646682836,0.959422049219072,0.153901585595736,0.0978785178709471
3090,0.858333333333333,1468.9011472182,0.158267810790858,110.200424513531,294.469152704202,0.00396074404366172,1.89603925595634,23.39914014195,19842.7430416415,157.256958358497,1.23827262041447,14.0367188028521,0.961727379585536,0.154342331251443,0.0983157148821428
3100,0.861111111111111,1468.80068340667,0.158277943734929,110.51486635503,294.463950486452,0.00396106135969881,1.8960389386403,23.5031990934883,19842.4308895163,157.56911048363,1.23597157397719,14.1241220745665,0.964028426022815,0.154782725987437,0.0987529373675981
3110,0.863888888888889,1468.70022029929,0.158286679717893,110.829057838043,294.458747929606,0.00396134324106369,1.89603865675894,23.6072631969463,19842.1187189085,157.881281091478,1.23367480350838,14.2117742850643,0.966325196491623,0.155222770081293,0.0991901814997745
3120,0.866666666666667,1468.59975789368,0.158294028539336,111.1429991606,294.453545079463,0.00396158993508513,1.89603841006491,23.7113315477404,19841.8065325529,158.193467447114,1.23138230106212,14.2996752361399,0.968617698937883,0.155662463810365,0.099627443477901
3130,0.869444444444444,1468.49929618743,0.158299999934244,111.456690520576,294.448341981487,0.00396180168749095,1.89603819831251,23.8154032478668,19841.4943331645,158.505666835488,1.22909405870729,14.3878247297448,0.970905941292717,0.156101807451788,0.100064719528852
3140,0.872222222222222,1468.39883517819,0.158304603572747,111.770132115689,294.44313868081,0.00396197874240366,1.8960380212576,23.9194774059196,19841.1821234385,158.817876561482,1.22681006852755,14.4762225679869,0.973189931472456,0.156540801282477,0.100502005907225
3150,0.875,1468.29837486357,0.158307849072983,112.083324143498,294.437935222288,0.00396212134261873,1.89603787865738,24.0235531359789,19840.8699060534,159.13009394655,1.22453032262115,14.5648685531307,0.975469677378858,0.156979445579129,0.100939298890668
3160,0.877777777777778,1468.19791524125,0.158309745988554,112.39626680141,294.432731650442,0.00396222972933561,1.89603777027066,24.1276295586881,19840.557683668,159.442316331973,1.22225481310106,14.653762487597,0.977745186898939,0.157417740618222,0.101376594784404
3170,0.880555555555556,1468.09745630889,0.158310303812962,112.708960286672,294.427528009483,0.00396230414225456,1.89603769585774,24.2317058008673,19840.2454589223,159.754541077691,1.21998353209494,14.7429041739629,0.980016467905063,0.157855686676012,0.10181388991961
3180,0.883333333333333,1467.99699806417,0.158309531980063,113.021404796377,294.42232434331,0.00396234481958754,1.89603765518041,24.3357809954707,19839.9332344378,160.066765562177,1.21771647174503,14.8322934149618,0.982283528254969,0.158293284028539,0.102251180653238
3190,0.886111111111111,1467.8965405048,0.158307439864521,113.33360052746,294.417120695517,0.00396235199806922,1.89603764800193,24.4398542815443,19839.6210128177,160.378987182303,1.21545362420821,14.921930013483,0.984546375791797,0.158730532951624,0.102688463367833
3200,0.888888888888889,1467.79608362849,0.158304036772954,113.6455476767,294.41191710935,0.00396232591276557,1.89603767408723,24.5439248049695,19839.3087966444,160.691203355595,1.21319498165602,15.011813772572,0.986805018343979,0.159167433720869,0.103125734474662
3210,0.891666666666667,1467.69562743297,0.158299331965836,113.957246440724,294.406713627803,0.0039622667975512,1.89603773320245,24.6479917166068,19838.9965884854,161.003411514613,1.21094053627442,15.1019444954297,0.989059463725586,0.159603986611658,0.103562990405911
3220,0.894444444444444,1467.59517191599,0.158293334641215,114.268697015997,294.40151029355,0.00396217488475649,1.89603782511524,24.7520541736679,19838.6843908889,161.31560911111,1.2086902802639,15.1923219854127,0.991309719736108,0.160040191899156,0.104000227620454
3230,0.897222222222222,1467.4947170753,0.158286053939244,114.579899598835,294.396307148965,0.00396205040526709,1.89603794959473,24.856111339329,19838.3722063851,161.627793614852,1.20644420583946,15.2829460460334,0.99355579416054,0.160476049858312,0.104437442602223
3240,0.9,1467.39426290867,0.158277498942806,114.890854385393,294.391104236119,0.00396189358853879,1.89603810641146,24.9601623826723,19838.0600374865,161.939962513448,1.20420230523059,15.3738164809594,0.995797694769414,0.160911560763855,0.104874631859967
3250,0.902777777777778,1467.29380941391,0.158267678677953,115.201561571673,294.385901596791,0.00396170466260798,1.89603829533739,25.0642064786452,19837.7478866877,162.252113312224,1.20196457068118,15.4649330940136,0.998035429318826,0.161346724890299,0.105311791927081
3260,0.905555555555556,1467.1933565888,0.158256602109295,115.512021353523,294.380699272441,0.00396148385397546,1.89603851614602,25.1682428084325,19837.4357564646,162.564243535352,1.19973099444961,15.5562956891744,1.00026900555039,0.161781542511938,0.105748919363162
3270,0.908333333333333,1467.09290443116,0.158244278147538,115.822233926634,294.375497304249,0.00396123138779561,1.8960387686122,25.2722705588331,19837.123649276,162.876350723959,1.19750156880864,15.6479040705749,1.00249843119136,0.162216013902849,0.106186010751399
3280,0.911111111111111,1466.99245293882,0.158230715651468,116.132199486543,294.370295733117,0.00396094748792601,1.89603905251207,25.3762889220914,19836.8115675643,163.188432435624,1.19527628604528,15.7397580425031,1.00472371395472,0.162650139336894,0.106623062697863
3290,0.913888888888889,1466.89200210963,0.158215923421989,116.44191822863,294.365094599646,0.00396063237677711,1.89603936762322,25.4802970963807,19836.4995137541,163.500486245835,1.19305513846096,15.8318574094021,1.00694486153905,0.163083919087717,0.107060071833533
3300,0.916666666666667,1466.79155194145,0.158199910205006,116.751390348124,294.359893944154,0.00396028627538424,1.89603971372462,25.5842942855615,19836.1874902527,163.812509747258,1.19083811837136,15.9242019758693,1.00916188162864,0.163517353428745,0.107497034813284
3310,0.919444444444444,1466.69110243214,0.158182684691829,117.060616040096,294.35469380667,0.0039599094034176,1.89604009059658,25.6882796991423,19835.8754994503,164.124500549624,1.18862521810648,16.0167915466569,1.01137478189353,0.163950442633188,0.107933948315724
3320,0.922222222222222,1466.59065357958,0.158164255517988,117.369595499465,294.349494226932,0.0039595019791543,1.89604049802085,25.7922525523734,19835.56354372,164.436456280007,1.18641643001056,16.1096259266716,1.01358356998944,0.164383186974041,0.108370809043586
3330,0.925,1466.49020538169,0.158144631259664,117.678328920994,294.344295244377,0.00395906421939429,1.89604093578061,25.8962120665371,19835.2516254163,164.748374583706,1.18421174644218,16.2027049209744,1.01578825355782,0.164815586724081,0.108807613724946
