No.,Name,Value
111,RS50S_EFG_GDP_PO4,0
112,CK_ADP,0
113,CK_ATP,0
114,CK_CP,0
115,CK_CP_ADP,0
116,CK_Cr,0
117,CK_Cr_ATP,0
118,CK_degraded,0
119,CK,30
120,ADP,0
121,CP,50000
122,Cr,0
123,NDK,1.8
124,NDK_degraded,0
125,NDK_GDP,0
126,NDK_ATP,0
127,NDK_GDP_ATP,0
128,NDK_GTP_ADP,0
129,NDK_ADP,0
130,NDK_GTP,0
131,MK,5.6
132,MK_degraded,0
133,MK_AMP,0
134,MK_ATP,0
135,MK_ATP_AMP,0
136,MK_ADP_1,0
137,MK_ADP_2,0
138,MK_ADP_ADP,0
139,PPiase,0.16
140,PPiase_PPi,0
141,PPiase_degraded,0
142,PPiase_PO4,0
143,PPiase_PO4_PO4,0
144,FD,126.8498943
145,MTF,2.4
146,THF,0
147,MTF_FD,0
148,MTF_MettRNAfMetCAU,0
149,MTF_FD_MettRNAfMetCAU,0
150,MTF_THF_fMettRNAfMetCAU,0
151,MTF_THF,0
152,MTF_fMettRNAfMetCAU,0
153,MTF_degraded,0
154,IF2_GTP,0
155,IF2_GDP,0
156,IF2_GTP_fMettRNAfMetCAU,0
157,IF2_degraded,0
158,IF2,4.1
159,RS30S_IF1,0
160,RS30S_IF1_IF3,0
161,RS30S_IF1_IF3_IF2_GTP,0
162,RS30S_IF1_IF3_IF2_GTP_fMettRNAfMetCAU,0
163,RS30S_IF1_IF3_IF2_GTP_fMettRNAfMetCAU_mRNA,0
164,RS30S_IF1_IF3_IF2_GTP_mRNA,0
165,RS30S_IF1_IF3_fMettRNAfMetCAU_mRNA,0
166,RS30S_IF1_IF3_mRNA,0
167,RS30S_IF3,0
168,RS30S_IF3_IF2_GTP,0
169,RS30S_IF3_IF2_GTP_fMettRNAfMetCAU,0
170,RS30S_IF3_IF2_GTP_fMettRNAfMetCAU_mRNA,0
171,RS30S_IF3_IF2_GTP_mRNA,0
172,RS30S_IF3_fMettRNAfMetCAU_mRNA,0
173,RS30S_IF3_mRNA,0
174,RS70S_IF1,0
175,RS70S_IF1_IF3,0
176,RS70S_IF1_IF3_IF2_GTP_fMettRNAfMetCAU_mRNA,0
177,RS70S_IF3,0
178,RS70S_IF3_IF2_GTP_fMettRNAfMetCAU_mRNA,0
179,IF1_degraded,0
180,IF3_degraded,0
181,IF1,99
182,IF3,4.9
183,RS30S_IF2_GTP,0
184,RS30S_IF2_GTP_fMettRNAfMetCAU,0
185,RS30S_mRNA,0
186,RS30S_fMettRNAfMetCAU_mRNA,0
187,RS30S_IF2_GTP_mRNA,0
188,RS30S_IF2_GTP_fMettRNAfMetCAU_mRNA,0
189,RS30S_IF1_IF2_GTP,0
190,RS30S_IF1_IF2_GTP_fMettRNAfMetCAU,0
191,RS30S_IF1_mRNA,0
192,RS30S_IF1_fMettRNAfMetCAU_mRNA,0
193,RS30S_IF1_IF2_GTP_mRNA,0
194,RS30S_IF1_IF2_GTP_fMettRNAfMetCAU_mRNA,0
195,RS70S_IF1_IF2_GDP_fMettRNAfMetCAU_mRNA,0
196,RS70S_IF1_IF3_IF2_GDP_PO4_fMettRNAfMetCAU_mRNA,0
197,RS70S_IF1_IF3_IF2_GDP_fMettRNAfMetCAU_mRNA,0
198,RS70S_IF1_IF3_fMettRNAfMetCAU_mRNA,0
199,RS70S_IF1_fMettRNAfMetCAU_mRNA,0
200,RS70S_IF2_GDP_fMettRNAfMetCAU_mRNA,0
201,RS70S_IF3_IF2_GDP_PO4_fMettRNAfMetCAU_mRNA,0
202,RS70S_IF3_IF2_GDP_fMettRNAfMetCAU_mRNA,0
203,RS70S_IF3_fMettRNAfMetCAU_mRNA,0
204,GMP,0
205,RF1,0.2
206,Pept0003,0
207,RF1_degraded,0
208,termRS70SUAA0004_tRNAGlyGCC,0
209,elRS70SAUAA0004_Pept0003tRNAGlyGCC_RF1,0
210,termRS70SUAA0004_tRNAGlyGCC_RF1,0
211,RF2,0.2
212,RF2_degraded,0
213,elRS70SAUAA0004_Pept0003tRNAGlyGCC_RF2,0
214,termRS70SUAA0004_tRNAGlyGCC_RF2,0
215,RF3,0.7
216,RF3_degraded,0
217,RF3_GDP,0
218,RF3_GTP,0
219,termRS70SUAA0004_tRNAGlyGCC_RF1_RF3_GDP,0
220,termRS70SUAA0004_tRNAGlyGCC_RF1_RF3_GTP,0
221,termRS70SUAA0004_tRNAGlyGCC_RF1_RF3,0
222,termRS70SUAA0004_tRNAGlyGCC_RF3_GTP,0
223,termRS70SUAA0004_tRNAGlyGCC_RF3_GDP,0
224,termRS70SUAA0004_tRNAGlyGCC_RF3_GDP_PO4,0
225,termRS70SUAA0004_tRNAGlyGCC_RF2_RF3_GDP,0
226,termRS70SUAA0004_tRNAGlyGCC_RF2_RF3_GTP,0
227,termRS70SUAA0004_tRNAGlyGCC_RF2_RF3,0
228,RRF,16
229,RRF_degraded,0
230,RS50S_RRF,0
231,RS50S_RRF_EFG_GDP,0
232,RS50S_tRNAGlyGCC,0
233,RS50S_tRNAGlyGCC_EFG_GDP,0
234,RS50S_tRNAGlyGCC_RRF,0
235,RS50S_tRNAGlyGCC_RRF_EFG_GDP,0
236,termRS70SUAA0004_tRNAGlyGCC_EFG_GTP,0
237,termRS70SUAA0004_tRNAGlyGCC_RRF,0
238,termRS70SUAA0004_tRNAGlyGCC_RRF_EFG_GDP,0
