time_s,V_TX_uM_s,V_nt_deg_uM_s,V_RS_uM_s,V_TL_uM_s,V_TL_deg_uM_s,V_EN_uM_s,D_nt_uM,D_TLcat_uM
3770,0.0910838761860618,0.0235467043139436,0.0159004089239071,0.0158760191671001,0.000202954950172661,0.0476737250050705,46.6173027542764,1.10884435391042
3780,0.091083090768675,0.023600172266911,0.0158865421401745,0.0158620501923575,0.000202577804819263,0.047632005967566,46.8530371729882,1.11087201710073
3790,0.0910823051193587,0.0236535972681283,0.0158726192149486,0.0158480261973689,0.00020220136030424,0.0475901198026394,47.0893060564428,1.11289591234279
3800,0.0910815192380044,0.0237069793514163,0.0158586407641172,0.0158339477889043,0.000201825615325244,0.047548068347528,47.3261089752917,1.11491604663847
3810,0.0910807331245032,0.0237603185505688,0.0158446073986256,0.0158198155688367,0.000201450568582344,0.0475058534247339,47.5634455005245,1.11693242697664
3820,0.0910799467787464,0.0238136148993526,0.0158305197243474,0.0158056301341853,0.00020107621877803,0.0474634768415757,47.8013152034688,1.11894506033317
3830,0.0910791602006251,0.0238668684315079,0.0158163783416706,0.0157913920771593,0.000200702564617212,0.0474209403887921,48.03971765579,1.1209539536709
3840,0.0910783733900306,0.0239200791807481,0.0158021838472554,0.0157771019851933,0.000200329604807188,0.047378245846387,48.2786524294901,1.12295911393985
3850,0.0910775863468542,0.0239732471807598,0.0157879368325357,0.0157627604409939,0.000199957338057664,0.0473353949786141,48.5181190969083,1.12496054807708
3860,0.091076799070987,0.0240263724652026,0.0157736378842109,0.0157483680225795,0.000199585763080744,0.047292389535602,48.7581172307208,1.12695826300675
3870,0.0910760115623203,0.0240794550677098,0.0157592875842927,0.0157339253033202,0.000199214878590925,0.0472492312534925,48.9986464039399,1.12895226564019
3880,0.0910752238207453,0.0241324950218877,0.0157448865100728,0.0157194328519786,0.000198844683305094,0.0472059218543727,49.2397061899143,1.13094256287584
3890,0.0910744358461531,0.024185492361316,0.0157304352331194,0.0157048912327527,0.000198475175942538,0.0471624630436726,49.481296162329,1.13292916159925
3900,0.091073647638435,0.0242384471195475,0.015715934322041,0.0156903010053057,0.0001981063552249,0.0471188565173992,49.7234158952041,1.13491206868333
3910,0.0910728591974823,0.0242913593301088,0.015701384340276,0.0156756627248129,0.000197738219876205,0.0470751039563809,49.9660649628952,1.13689129098814
3920,0.0910720705231859,0.0243442290264995,0.0156867858467602,0.0156609769419981,0.000197370768622851,0.0470312070280277,50.2092429400931,1.13886683536101
3930,0.0910712816154372,0.0243970562421928,0.0156721393959699,0.0156462442031712,0.000197004000193602,0.046987167386462,50.4529494018235,1.14083870863655
3940,0.0910704924741273,0.0244498410106351,0.0156574455379654,0.0156314650502664,0.000196637913319582,0.0469429866726474,50.6971839234465,1.14280691763665
3950,0.0910697030991474,0.0245025833652465,0.0156427048175979,0.0156166400208829,0.000196272506734293,0.0468986665116807,50.9419460806572,1.14477146917047
3960,0.0910689134903886,0.0245552833394203,0.0156279177764213,0.0156017696483139,0.000195907779173565,0.0468542085192662,51.1872354494841,1.1467323700346
3970,0.0910681236477421,0.0246079409665234,0.0156130849513476,0.0155868544615895,0.000195543729375584,0.0468096142971346,51.4330516062895,1.14868962701298
3980,0.0910673335710989,0.0246605562798963,0.0155982068749759,0.0155718949855111,0.000195180356080884,0.0467648854341414,51.6793941277695,1.15064324687697
3990,0.0910665432603503,0.0247131293128529,0.0155832840756697,0.0155568917406876,0.000194817658032335,0.0467200235065147,51.9262625909533,1.15259323638529
4000,0.0910657527153874,0.0247656600986806,0.015568317077598,0.0155418452435709,0.000194455633975145,0.0466750300779768,52.1736565732032,1.15453960228417
4010,0.0910649619361012,0.0248181486706403,0.0155533064001833,0.0155267560064936,0.000194094282656866,0.0466299066978419,52.4215756522145,1.15648235130717
4020,0.0910641709223828,0.0248705950619668,0.0155382525593145,0.0155116245376987,0.000193733602827364,0.0465846549051422,52.6700194060146,1.15842149017546
4030,0.0910633796741233,0.0249229993058682,0.0155231560667597,0.0154964513413772,0.000193373593238828,0.0465392762266055,52.9189874129631,1.16035702559769
4040,0.0910625881912138,0.0249753614355263,0.0155080174301236,0.0154812369177021,0.000193014252645767,0.0464937721764901,53.1684792517518,1.16228896427007
4050,0.0910617964735453,0.0250276814840965,0.0154928371529897,0.0154659817628626,0.000192655579805004,0.0464481442570562,53.418494501404,1.16421731287632
4060,0.091061004521009,0.0250799594847082,0.0154776157349596,0.0154506863690967,0.000192297573475672,0.0464023939586808,53.6690327412743,1.16614207808778
4070,0.0910602123334957,0.0251321954704639,0.0154623536711128,0.0154353512247274,0.000191940232419221,0.04635652275841,53.9200935510491,1.16806326656332
4080,0.0910594199108965,0.0251843894744403,0.0154470514529796,0.0154199768141916,0.000191583555399394,0.0463105321225976,54.171676510745,1.16998088494949
4090,0.0910586272531025,0.0252365415296876,0.0154317095684572,0.0154045636180734,0.000191227541182227,0.046264423506688,54.4237812007095,1.1718949398805
4100,0.0910578343600046,0.0252886516692297,0.015416328501372,0.0153891121131379,0.000190872188536051,0.0462181983540457,54.6764072016205,1.17380543797822
4110,0.0910570412314937,0.0253407199260646,0.0154009087317253,0.0153736227723626,0.000190517496231486,0.0461718580966291,54.9295540944858,1.17571238585222
4120,0.0910562478674609,0.0253927463331636,0.0153854507357292,0.015358096064969,0.000190163463041437,0.0461254041550983,55.1832214606431,1.1776157900998
4130,0.091055454267797,0.0254447309234723,0.015369954985444,0.0153425324564555,0.000189810087741096,0.0460788379377345,55.4374088817601,1.17951565730593
4140,0.0910546604323931,0.0254966737299097,0.0153544219492374,0.0153269324086267,0.00018945736910793,0.0460321608418104,55.6921159398336,1.18141199404338
4150,0.0910538663611399,0.025548574785369,0.0153388520922506,0.0153112963796225,0.000189105305921667,0.045985374254978,55.9473422171892,1.18330480687275
4160,0.0910530720539284,0.025600434122717,0.0153232458756931,0.0152956248239515,0.000188753896964308,0.0459384795531685,56.2030872964814,1.18519410234243
4170,0.0910522775106495,0.0256522517747945,0.015307603757133,0.0152799181925204,0.000188403141020118,0.0458914781014585,56.4593507606933,1.18707988698861
4180,0.091051482731194,0.0257040277744164,0.0152919261905314,0.0152641769326634,0.000188053036875617,0.045844371254172,56.7161321931363,1.18896216733539
4190,0.0910506877154527,0.0257557621543713,0.0152762136260377,0.0152484014881733,0.000187703583319591,0.0457971603541783,56.9734311774498,1.19084094989467
4200,0.0910498924633164,0.0258074549474217,0.0152604665100735,0.0152325922993303,0.000187354779143078,0.0457498467331623,57.2312472976013,1.19271624116624
4210,0.0910490969746761,0.0258591061863042,0.0152446852861289,0.0152167498029277,0.000187006623139347,0.0457024317142974,57.4895801378853,1.19458804763791
4220,0.0910483012494223,0.0259107159037296,0.0152288703939268,0.0152008744323048,0.000186659114103916,0.045654916609415,57.7484292829235,1.19645637578539
4230,0.091047505287446,0.0259622841323823,0.0152130222697303,0.0151849666173739,0.000186312250834541,0.0456073027200274,58.0077943176649,1.19832123207236
4240,0.0910467090886377,0.026013810904921,0.0151971413463749,0.0151690267846485,0.00018596603213121,0.0455595913374245,58.2676748273849,1.20018262295048
4250,0.0910459126528883,0.0260652962539785,0.015181228053301,0.0151530553572716,0.000185620456796144,0.045511783742771,58.5280703976855,1.20204055485944
4260,0.0910451159800885,0.0261167402121614,0.0151652828159038,0.015137052755046,0.000185275523633804,0.0454638812049718,58.7889806144955,1.20389503422686
4270,0.0910443190701288,0.0261681428120508,0.0151493060569267,0.0151210193944562,0.000184931231450856,0.0454158849852177,59.0504050640688,1.20574606746852
4280,0.0910435219229001,0.0262195040862015,0.0151332981957868,0.0151049556886979,0.00018458757905618,0.0453677963347726,59.3123433329851,1.20759366098828
4290,0.0910427245382928,0.0262708240671428,0.0151172596484721,0.0150888620477067,0.000184244565260876,0.0453196164946262,59.5747950081498,1.20943782117808
4300,0.0910419269161976,0.0263221027873779,0.0151011908277086,0.0150727388781831,0.000183902188878251,0.0452713466960332,59.8377596767933,1.211278554418
4310,0.0910411290565051,0.0263733402793843,0.0150850921429914,0.0150565865836194,0.000183560448723817,0.0452229881606048,60.1012369264707,1.21311586707625
4320,0.0910403309591059,0.0264245365756137,0.0150689640004493,0.0150404055643268,0.00018321934361529,0.045174542099973,60.3652263450622,1.21494976550919
4330,0.0910395326238905,0.026475691708492,0.0150528068022708,0.0150241962174633,0.0001828788723726,0.0451260097143287,60.6297275207726,1.21678025606129
4340,0.0910387340507494,0.0265268057104194,0.0150366209487802,0.0150079589370513,0.00018253903381784,0.0450773921977683,60.89474004213,1.21860734506537
4350,0.0910379352395731,0.0265778786137702,0.0150204068366305,0.0149916941140106,0.000182199826775303,0.0450286907336623,61.1602634979869,1.22043103884246
4360,0.0910371361902521,0.0266289104508932,0.0150041648593622,0.0149754021361815,0.000181861250071466,0.0449799064961043,61.4262974775191,1.22225134370179
4370,0.0910363369026768,0.0266799012541113,0.0149878954074318,0.0149590833883495,0.000181523302534987,0.0449310406499959,61.692841570226,1.22406826594093
4380,0.0910355373767376,0.0267308510557219,0.01497159886824,0.0149427382522705,0.000181185982996701,0.0448820943511325,61.9598953659299,1.22588181184569
4390,0.091034737612325,0.0267817598879967,0.0149552756257573,0.0149263671066969,0.000180849290289626,0.0448330687449063,62.2274584547765,1.22769198769018
4400,0.0910339376093292,0.0268326277831816,0.0149389260611122,0.0149099703273996,0.000180513223248943,0.0447839649683122,62.4955304272338,1.22949879973686
4410,0.0910331373676408,0.0268834547734971,0.0149225505527803,0.0148935482871907,0.000180177780711988,0.0447347841505839,62.7641108740917,1.23130225423662
4420,0.0910323368871498,0.026934240891138,0.0149061494760613,0.0148771013559507,0.000179842961518261,0.0446855274113898,63.0331993864625,1.2331023574287
4430,0.0910315361677468,0.0269849861682735,0.0148897232033172,0.0148606299006508,0.000179508764509421,0.0446361958616353,63.3027955557804,1.23489911554074
4440,0.0910307352093218,0.0270356906370474,0.0148732721039986,0.0148441342853763,0.000179175188529277,0.0445867906035437,63.5728989738009,1.23669253478883
4450,0.0910299340117652,0.0270863543295778,0.0148567965446715,0.0148276148713499,0.000178842232423787,0.0445373127307357,63.843509232601,1.23848262137748
4460,0.0910291325749672,0.0271369772779572,0.014840296888372,0.0148110720169581,0.000178509895041077,0.0444877633260572,64.1146259245792,1.24026938149959
4470,0.0910283308988178,0.0271875595142529,0.0148237734962079,0.0147945060777661,0.000178178175231377,0.044438143466935,64.3862486424542,1.24205282133668
4480,0.0910275289832074,0.0272381010705066,0.0148072267261321,0.0147779174065464,0.000177847071847071,0.0443884542212582,64.6583769792652,1.24383294705876
4490,0.091026726828026,0.0272886019787344,0.0147906569332905,0.0147613063533002,0.00017751658374267,0.0443386966485335,64.9310105283719,1.24560976482435
4500,0.0910259244331637,0.0273390622709272,0.0147740644700566,0.0147446732652787,0.000177186709774816,0.0442888717999927,65.204148883454,1.24738328078055
4510,0.0910251217985106,0.0273894819790502,0.0147574496860572,0.0147280184870059,0.000176857448802275,0.0442389807186681,65.4777916385109,1.24915350106303
4520,0.0910243189239567,0.0274398611350436,0.0147408129279263,0.0147113423603009,0.00017652879968594,0.0441890244387491,65.7519383878617,1.25092043179602
4530,0.091023515809392,0.0274901997708218,0.0147241545393703,0.0146946452242999,0.000176200761288826,0.0441390039857625,66.0265887261451,1.25268407909233
4540,0.0910227124547066,0.0275404979182741,0.0147074748621024,0.0146779274154731,0.000175873332476042,0.0440889203790568,66.3017422483181,1.25444444905354
4550,0.0910219088597902,0.0275907556092645,0.0146907742348448,0.0146611892676505,0.000175546512114814,0.0440387746291662,66.5773985496568,1.25620154776982
4560,0.091021105024533,0.0276409728756315,0.0146740529936738,0.0146444311120417,0.000175220299074472,0.043988567738734,66.8535572257557,1.25795538132004
4570,0.0910203009488247,0.0276911497491885,0.014657311472044,0.0146276532772566,0.000174894692226448,0.0439383007025844,67.1302178725275,1.25970595577178
4580,0.0910194966325552,0.0277412862617235,0.014640550000812,0.014610856089326,0.000174569690444269,0.0438879745077928,67.4073800862032,1.26145327718135
4590,0.0910186920756144,0.0277913824449992,0.0146237689077009,0.0145940398717248,0.000174245292603573,0.0438375901320865,67.6850434633317,1.26319735159369
4600,0.091017887277892,0.0278414383307533,0.0146069685184301,0.0145772049453867,0.00017392149758207,0.0437871485472214,67.9632076007791,1.26493818504263
4610,0.0910170822392778,0.027891453950698,0.0145901491561807,0.0145603516287275,0.000173598304259554,0.0437366507173846,68.2418720957285,1.26667578355078
4620,0.0910162769596615,0.0279414293365205,0.0145733111414916,0.0145434802376649,0.000173275711517903,0.0436860975988828,68.5210365456803,1.26841015312955
4630,0.0910154714389328,0.0279913645198828,0.0145564547923983,0.0145265910856383,0.000172953718241073,0.0436354901405588,68.8007005484517,1.27014129977917
4640,0.0910146656769815,0.0280412595324216,0.0145395804244556,0.014509684483628,0.000172632323315095,0.0435848292838581,69.080863702176,1.27186922948873
4650,0.091013859673697,0.0280911144057488,0.0145226883506694,0.0144927607401752,0.000172311525628071,0.0435341159625935,69.3615256053032,1.27359394823617
4660,0.0910130534289691,0.0281409291714507,0.0145057788811817,0.014475820161403,0.000171991324070189,0.0434833511018785,69.6426858565997,1.27531546198823
4670,0.0910122469426873,0.0281907038610889,0.0144888523244528,0.0144588630510291,0.000171671717533663,0.0434325356220885,69.9243440551466,1.27703377670073
4680,0.091011440214741,0.0282404385061998,0.0144719089862281,0.0144418897103903,0.000171352704912784,0.0433816704353844,70.206499800341,1.27874889831836
4690,0.0910106332450199,0.0282901331382947,0.0144549491698678,0.0144249004384597,0.000171034285103892,0.0433307564468108,70.4891526918952,1.28046083277477
4700,0.0910098260334134,0.02833978778886,0.0144379731763681,0.0144078955318653,0.00017071645700538,0.0432797945543598,70.7723023298364,1.28216958599258
4710,0.0910090185798109,0.0283894024893569,0.0144209813043824,0.014390875284908,0.000170399219517687,0.0432287856490341,71.0559483145065,1.2838751638834
4720,0.0910082108841018,0.0284389772712218,0.0144039738501915,0.0143738399895805,0.000170082571543297,0.0431777306147469,71.340090246562,1.28557757234786
4730,0.0910074029461755,0.0284885121658659,0.0143869511070727,0.0143567899355887,0.000169766511986761,0.0431266303262949,71.6247277269744,1.28727681727548
4740,0.0910065947659213,0.0285380072046757,0.0143699133670913,0.0143397254103598,0.00016945103975462,0.0430754856550947,71.909860357028,1.28897290454505
4750,0.0910057863432285,0.0285874624190125,0.0143528609196057,0.0143226466990686,0.000169136153755465,0.0430242974643879,72.1954877383213,1.29066584002438
4760,0.0910049776779863,0.0286368778402129,0.0143357940517178,0.0143055540846525,0.000168821852899915,0.0429730666106801,72.481609472766,1.29235562957035
4770,0.091004168770084,0.0286862534995885,0.0143187130482936,0.014288447847829,0.000168508136100612,0.0429217939438012,72.7682251625875,1.29404227902897
4780,0.0910033596194107,0.028735589428426,0.0143016181919829,0.0142713282671129,0.000168195002272218,0.0428704803069642,73.0553344103238,1.29572579423538
4790,0.0910025502258556,0.0287848856579874,0.0142845097632395,0.0142541956188337,0.000167882450331412,0.0428191265368257,73.3429368188257,1.29740618101391
4800,0.0910017405893078,0.0288341422195097,0.0142673880393566,0.014237050177157,0.000167570479196919,0.0427677334610494,73.6310319912576,1.29908344517785
4810,0.0910009307096564,0.028883359144205,0.0142502532968397,0.0142198922140898,0.000167259087789424,0.0427163019043293,73.9196195310947,1.30075759252997
4820,0.0910001205867904,0.0289325364632609,0.0142331058095219,0.014202721999507,0.000166948275031636,0.0426648326836211,74.2086990421245,1.30242862886217
4830,0.0909993102205988,0.02898167420784,0.0142159458490836,0.0141855398011649,0.000166638039848265,0.0426133266094688,74.4982701284465,1.30409655995556
