reaction_id,aminoacylation_subsystems,full_subsystem_files,interface_with_other_modules,n_reactants,n_products,reactants,products,net_stoichiometry,is_degradation_sink,k1_author_value,k1_is_zero,rate_law,pathway_membership
re0000000164,Aminoacylation_A_Met,Aminoacylation_A_Met,false,1,2,MetRS_Met:1,Met:1|MetRS_degraded:1,Met:+1|MetRS_Met:-1|MetRS_degraded:+1,true,0.0,true,k1 * MetRS_Met,Met
re0000000165,Aminoacylation_A_Met,Aminoacylation_A_Met,false,1,1,MetRS_Met_ATP:1,MetRS_MetAMP_PPi:1,MetRS_MetAMP_PPi:+1|MetRS_Met_ATP:-1,false,60.0,false,k1 * MetRS_Met_ATP,Met
re0000000166,Aminoacylation_A_Met,Aminoacylation_A_Met,false,1,1,MetRS_MetAMP_PPi:1,MetRS_Met_ATP:1,MetRS_MetAMP_PPi:-1|MetRS_Met_ATP:+1,false,150.0,false,k1 * MetRS_MetAMP_PPi,Met
re0000000167,Aminoacylation_A_Met,Aminoacylation_A_Met,false,1,3,MetRS_MetAMP_PPi:1,MetAMP:1|MetRS_degraded:1|PPi:1,MetAMP:+1|MetRS_MetAMP_PPi:-1|MetRS_degraded:+1|PPi:+1,true,0.0,true,k1 * MetRS_MetAMP_PPi,Met
re0000000168,Aminoacylation_A_Met,Aminoacylation_A_Met,false,1,2,MetAMP:1,AMP:1|Met:1,AMP:+1|Met:+1|MetAMP:-1,false,0.0,true,k1 * MetAMP,shared
re0000000169,Aminoacylation_A_Met,Aminoacylation_A_Met,false,1,2,MetRS_AMP:1,AMP:1|MetRS_degraded:1,AMP:+1|MetRS_AMP:-1|MetRS_degraded:+1,true,0.0,true,k1 * MetRS_AMP,Met
re0000000170,Aminoacylation_A_Met,Aminoacylation_A_Met,false,1,2,MetRS_AMP:1,AMP:1|MetRS:1,AMP:+1|MetRS:+1|MetRS_AMP:-1,false,1000.0,false,k1 * MetRS_AMP,Met
re0000000171,Aminoacylation_A_Met,Aminoacylation_A_Met,false,2,1,AMP:1|MetRS:1,MetRS_AMP:1,AMP:-1|MetRS:-1|MetRS_AMP:+1,false,0.0,true,k1 * MetRS * AMP,Met
re0000000172,Aminoacylation_A_Met,Aminoacylation_A_Met,false,1,2,MetRS_MetAMP:1,MetAMP:1|MetRS:1,MetAMP:+1|MetRS:+1|MetRS_MetAMP:-1,false,0.07,false,k1 * MetRS_MetAMP,Met
re0000000173,Aminoacylation_A_Met,Aminoacylation_A_Met,false,2,1,MetAMP:1|MetRS:1,MetRS_MetAMP:1,MetAMP:-1|MetRS:-1|MetRS_MetAMP:+1,false,2.4,false,k1 * MetRS * MetAMP,Met
re0000000174,Aminoacylation_A_Met,Aminoacylation_A_Met,false,2,1,AMP:1|Met:1,MetAMP:1,AMP:-1|Met:-1|MetAMP:+1,false,0.0,true,k1 * Met * AMP,shared
re0000000175,Aminoacylation_A_Met,Aminoacylation_A_Met,false,2,1,MetRS_MetAMP:1|PPi:1,MetRS_MetAMP_PPi:1,MetRS_MetAMP:-1|MetRS_MetAMP_PPi:+1|PPi:-1,false,0.0,true,k1 * MetRS_MetAMP * PPi,Met
re0000000176,Aminoacylation_B_GlyGCC,Aminoacylation_B_GlyGCC,false,1,2,GlytRNAGlyGCC:1,Gly:1|tRNAGlyGCC:1,Gly:+1|GlytRNAGlyGCC:-1|tRNAGlyGCC:+1,false,0.0,true,k1 * GlytRNAGlyGCC,shared
re0000000177,Aminoacylation_B_GlyGCC,Aminoacylation_B_GlyGCC,false,1,3,GlyRS_GlyAMP_tRNAGlyGCC:1,GlyAMP:1|GlyRS_degraded:1|tRNAGlyGCC:1,GlyAMP:+1|GlyRS_GlyAMP_tRNAGlyGCC:-1|GlyRS_degraded:+1|tRNAGlyGCC:+1,true,0.0,true,k1 * GlyRS_GlyAMP_tRNAGlyGCC,Gly
re0000000178,Aminoacylation_B_GlyGCC,Aminoacylation_B_GlyGCC,false,1,1,GlyRS_GlyAMP_tRNAGlyGCC:1,GlyRS_AMP_GlytRNAGlyGCC:1,GlyRS_AMP_GlytRNAGlyGCC:+1|GlyRS_GlyAMP_tRNAGlyGCC:-1,false,22.0,false,k1 * GlyRS_GlyAMP_tRNAGlyGCC,Gly
re0000000179,Aminoacylation_B_GlyGCC,Aminoacylation_B_GlyGCC,false,1,1,GlyRS_AMP_GlytRNAGlyGCC:1,GlyRS_GlyAMP_tRNAGlyGCC:1,GlyRS_AMP_GlytRNAGlyGCC:-1|GlyRS_GlyAMP_tRNAGlyGCC:+1,false,0.0,true,k1 * GlyRS_AMP_GlytRNAGlyGCC,Gly
re0000000180,Aminoacylation_B_GlyGCC,Aminoacylation_B_GlyGCC,false,1,2,GlyRS_AMP_GlytRNAGlyGCC:1,AMP:1|GlyRS_GlytRNAGlyGCC:1,AMP:+1|GlyRS_AMP_GlytRNAGlyGCC:-1|GlyRS_GlytRNAGlyGCC:+1,false,1000.0,false,k1 * GlyRS_AMP_GlytRNAGlyGCC,Gly
re0000000181,Aminoacylation_B_GlyGCC,Aminoacylation_B_GlyGCC,false,2,1,AMP:1|GlyRS_GlytRNAGlyGCC:1,GlyRS_AMP_GlytRNAGlyGCC:1,AMP:-1|GlyRS_AMP_GlytRNAGlyGCC:+1|GlyRS_GlytRNAGlyGCC:-1,false,0.0,true,k1 * GlyRS_GlytRNAGlyGCC * AMP,Gly
re0000000182,Aminoacylation_B_GlyGCC,Aminoacylation_B_GlyGCC,false,1,2,GlyRS_AMP_GlytRNAGlyGCC:1,GlyRS_AMP:1|GlytRNAGlyGCC:1,GlyRS_AMP:+1|GlyRS_AMP_GlytRNAGlyGCC:-1|GlytRNAGlyGCC:+1,false,353.0,false,k1 * GlyRS_AMP_GlytRNAGlyGCC,Gly
re0000000183,Aminoacylation_B_GlyGCC,Aminoacylation_B_GlyGCC,false,2,1,GlyRS_AMP:1|GlytRNAGlyGCC:1,GlyRS_AMP_GlytRNAGlyGCC:1,GlyRS_AMP:-1|GlyRS_AMP_GlytRNAGlyGCC:+1|GlytRNAGlyGCC:-1,false,100.0,false,k1 * GlyRS_AMP * GlytRNAGlyGCC,Gly
re0000000184,Aminoacylation_B_GlyGCC,Aminoacylation_B_GlyGCC,false,1,2,GlyRS_GlytRNAGlyGCC:1,GlyRS:1|GlytRNAGlyGCC:1,GlyRS:+1|GlyRS_GlytRNAGlyGCC:-1|GlytRNAGlyGCC:+1,false,353.0,false,k1 * GlyRS_GlytRNAGlyGCC,Gly
re0000000185,Aminoacylation_B_GlyGCC,Aminoacylation_B_GlyGCC,false,2,1,GlyRS:1|GlytRNAGlyGCC:1,GlyRS_GlytRNAGlyGCC:1,GlyRS:-1|GlyRS_GlytRNAGlyGCC:+1|GlytRNAGlyGCC:-1,false,100.0,false,k1 * GlyRS * GlytRNAGlyGCC,Gly
re0000000186,Aminoacylation_B_GlyGCC,Aminoacylation_B_GlyGCC,false,1,3,GlyRS_AMP_GlytRNAGlyGCC:1,AMP:1|GlyRS_degraded:1|GlytRNAGlyGCC:1,AMP:+1|GlyRS_AMP_GlytRNAGlyGCC:-1|GlyRS_degraded:+1|GlytRNAGlyGCC:+1,true,0.0,true,k1 * GlyRS_AMP_GlytRNAGlyGCC,Gly
re0000000187,Aminoacylation_B_GlyGCC,Aminoacylation_B_GlyGCC,false,1,2,GlyRS_GlytRNAGlyGCC:1,GlyRS_degraded:1|GlytRNAGlyGCC:1,GlyRS_GlytRNAGlyGCC:-1|GlyRS_degraded:+1|GlytRNAGlyGCC:+1,true,0.0,true,k1 * GlyRS_GlytRNAGlyGCC,Gly
