reaction_id,reactants,products,k1_author,active_at_reference,ATP_free_delta,ATP_carrier_delta,AMP_free_delta,AMP_carrier_delta,PPi_free_delta,PPi_carrier_delta,MetAMP_free_delta,MetAMP_carrier_delta,GlyAMP_free_delta,GlyAMP_carrier_delta,Met_free_delta,Met_carrier_delta,Gly_free_delta,Gly_carrier_delta,tRNAfMetCAU_free_delta,tRNAfMetCAU_carrier_delta,tRNAGlyGCC_free_delta,tRNAGlyGCC_carrier_delta,MettRNAfMetCAU_free_delta,MettRNAfMetCAU_carrier_delta,GlytRNAGlyGCC_free_delta,GlytRNAGlyGCC_carrier_delta,moiety_adenosine_delta,moiety_pyrophosphate_P_delta,moiety_phosphorus_total_delta,moiety_glycyl_delta,moiety_methionyl_delta,moiety_trna_gly_delta,moiety_trna_fmet_delta,moiety_enzyme_metrs_delta,moiety_enzyme_glyrs_delta
re0000000133,GlyRS_ATP:1,GlyRS:1|ATP:1,8900.0,true,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
re0000000134,GlyRS_ATP:1|Gly:1,GlyRS_Gly_ATP:1,0.024,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
re0000000135,GlyRS_Gly_ATP:1,GlyRS_ATP:1|Gly:1,3.2,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
re0000000136,GlyRS_Gly:1|ATP:1,GlyRS_Gly_ATP:1,10.0,true,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
re0000000137,GlyRS_Gly_ATP:1,GlyRS_Gly:1|ATP:1,4500.0,true,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
re0000000138,GlyRS_ATP:1,GlyRS_degraded:1|ATP:1,0.0,false,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
re0000000139,GlyRS_Gly:1,GlyRS_degraded:1|Gly:1,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
re0000000140,GlyRS_Gly_ATP:1,GlyRS_GlyAMP_PPi:1,29.0,true,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
re0000000141,GlyRS_GlyAMP_PPi:1,GlyRS_Gly_ATP:1,47.0,true,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
re0000000142,GlyRS_GlyAMP_PPi:1,GlyRS_degraded:1|GlyAMP:1|PPi:1,0.0,false,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
