forward_reaction_id,reverse_reaction_id,reactants,products,forward_parameter,reverse_parameter,exact_net_law,species_in_pair,structural_equivalence
re0000000182,re0000000183,GlyRS_AMP_GlytRNAGlyGCC:1,GlyRS_AMP:1|GlytRNAGlyGCC:1,353.0,100.0,v_net = (k1 * GlyRS_AMP_GlytRNAGlyGCC) - (k1 * GlyRS_AMP * GlytRNAGlyGCC),GlyRS_AMP|GlyRS_AMP_GlytRNAGlyGCC|GlytRNAGlyGCC,true
re0000000184,re0000000185,GlyRS_GlytRNAGlyGCC:1,GlyRS:1|GlytRNAGlyGCC:1,353.0,100.0,v_net = (k1 * GlyRS_GlytRNAGlyGCC) - (k1 * GlyRS * GlytRNAGlyGCC),GlyRS|GlyRS_GlytRNAGlyGCC|GlytRNAGlyGCC,true
re0000000188,re0000000190,Gly:1|GlyRS_tRNAGlyGCC:1,GlyRS_Gly_tRNAGlyGCC:1,20.0,470.0,v_net = (k1 * GlyRS_tRNAGlyGCC * Gly) - (k1 * GlyRS_Gly_tRNAGlyGCC),Gly|GlyRS_Gly_tRNAGlyGCC|GlyRS_tRNAGlyGCC,true
re0000000189,re0000000217,GlyRS_GlyAMP_PPi_tRNAGlyGCC:1,GlyRS_GlyAMP_tRNAGlyGCC:1|PPi:1,1000.0,0.0,v_net = (k1 * GlyRS_GlyAMP_PPi_tRNAGlyGCC) - (k1 * GlyRS_GlyAMP_tRNAGlyGCC * PPi),GlyRS_GlyAMP_PPi_tRNAGlyGCC|GlyRS_GlyAMP_tRNAGlyGCC|PPi,true
re0000000191,re0000000192,ATP:1|GlyRS_tRNAGlyGCC:1,GlyRS_ATP_tRNAGlyGCC:1,10.0,8900.0,v_net = (k1 * GlyRS_tRNAGlyGCC * ATP) - (k1 * GlyRS_ATP_tRNAGlyGCC),ATP|GlyRS_ATP_tRNAGlyGCC|GlyRS_tRNAGlyGCC,true
re0000000193,re0000000194,Gly:1|GlyRS_ATP_tRNAGlyGCC:1,GlyRS_Gly_ATP_tRNAGlyGCC:1,0.024,3.2,v_net = (k1 * GlyRS_ATP_tRNAGlyGCC * Gly) - (k1 * GlyRS_Gly_ATP_tRNAGlyGCC),Gly|GlyRS_ATP_tRNAGlyGCC|GlyRS_Gly_ATP_tRNAGlyGCC,true
re0000000195,re0000000196,ATP:1|GlyRS_Gly_tRNAGlyGCC:1,GlyRS_Gly_ATP_tRNAGlyGCC:1,10.0,4500.0,v_net = (k1 * GlyRS_Gly_tRNAGlyGCC * ATP) - (k1 * GlyRS_Gly_ATP_tRNAGlyGCC),ATP|GlyRS_Gly_ATP_tRNAGlyGCC|GlyRS_Gly_tRNAGlyGCC,true
re0000000197,re0000000198,GlyRS_Gly_ATP_tRNAGlyGCC:1,GlyRS_GlyAMP_PPi_tRNAGlyGCC:1,2.0,0.0,v_net = (k1 * GlyRS_Gly_ATP_tRNAGlyGCC) - (k1 * GlyRS_GlyAMP_PPi_tRNAGlyGCC),GlyRS_GlyAMP_PPi_tRNAGlyGCC|GlyRS_Gly_ATP_tRNAGlyGCC,true
re0000000199,re0000000201,GlyRS:1|tRNAGlyGCC:1,GlyRS_tRNAGlyGCC:1,376.0,100.0,v_net = (k1 * GlyRS * tRNAGlyGCC) - (k1 * GlyRS_tRNAGlyGCC),GlyRS|GlyRS_tRNAGlyGCC|tRNAGlyGCC,true
re0000000200,re0000000202,GlyRS_Gly:1|tRNAGlyGCC:1,GlyRS_Gly_tRNAGlyGCC:1,376.0,100.0,v_net = (k1 * GlyRS_Gly * tRNAGlyGCC) - (k1 * GlyRS_Gly_tRNAGlyGCC),GlyRS_Gly|GlyRS_Gly_tRNAGlyGCC|tRNAGlyGCC,true
re0000000203,re0000000204,GlyRS_ATP:1|tRNAGlyGCC:1,GlyRS_ATP_tRNAGlyGCC:1,376.0,100.0,v_net = (k1 * GlyRS_ATP * tRNAGlyGCC) - (k1 * GlyRS_ATP_tRNAGlyGCC),GlyRS_ATP|GlyRS_ATP_tRNAGlyGCC|tRNAGlyGCC,true
re0000000205,re0000000206,GlyRS_Gly_ATP:1|tRNAGlyGCC:1,GlyRS_Gly_ATP_tRNAGlyGCC:1,376.0,100.0,v_net = (k1 * GlyRS_Gly_ATP * tRNAGlyGCC) - (k1 * GlyRS_Gly_ATP_tRNAGlyGCC),GlyRS_Gly_ATP|GlyRS_Gly_ATP_tRNAGlyGCC|tRNAGlyGCC,true
re0000000207,re0000000208,GlyRS_GlyAMP_PPi:1|tRNAGlyGCC:1,GlyRS_GlyAMP_PPi_tRNAGlyGCC:1,353.0,100.0,v_net = (k1 * GlyRS_GlyAMP_PPi * tRNAGlyGCC) - (k1 * GlyRS_GlyAMP_PPi_tRNAGlyGCC),GlyRS_GlyAMP_PPi|GlyRS_GlyAMP_PPi_tRNAGlyGCC|tRNAGlyGCC,true
re0000000209,re0000000210,GlyRS_GlyAMP:1|tRNAGlyGCC:1,GlyRS_GlyAMP_tRNAGlyGCC:1,353.0,100.0,v_net = (k1 * GlyRS_GlyAMP * tRNAGlyGCC) - (k1 * GlyRS_GlyAMP_tRNAGlyGCC),GlyRS_GlyAMP|GlyRS_GlyAMP_tRNAGlyGCC|tRNAGlyGCC,true
re0000000218,re0000000259,MettRNAfMetCAU:1,Met:1|tRNAfMetCAU:1,0.0,0.0,v_net = (k1 * MettRNAfMetCAU) - (k1 * tRNAfMetCAU * Met),Met|MettRNAfMetCAU|tRNAfMetCAU,true
re0000000220,re0000000221,MetRS_MetAMP_tRNAfMetCAU:1,MetRS_AMP_MettRNAfMetCAU:1,13.7,0.0,v_net = (k1 * MetRS_MetAMP_tRNAfMetCAU) - (k1 * MetRS_AMP_MettRNAfMetCAU),MetRS_AMP_MettRNAfMetCAU|MetRS_MetAMP_tRNAfMetCAU,true
re0000000222,re0000000223,MetRS_AMP_MettRNAfMetCAU:1,AMP:1|MetRS_MettRNAfMetCAU:1,1000.0,0.0,v_net = (k1 * MetRS_AMP_MettRNAfMetCAU) - (k1 * MetRS_MettRNAfMetCAU * AMP),AMP|MetRS_AMP_MettRNAfMetCAU|MetRS_MettRNAfMetCAU,true
re0000000224,re0000000225,MetRS_AMP_MettRNAfMetCAU:1,MetRS_AMP:1|MettRNAfMetCAU:1,1.685,5.6,v_net = (k1 * MetRS_AMP_MettRNAfMetCAU) - (k1 * MetRS_AMP * MettRNAfMetCAU),MetRS_AMP|MetRS_AMP_MettRNAfMetCAU|MettRNAfMetCAU,true
re0000000226,re0000000227,MetRS_MettRNAfMetCAU:1,MetRS:1|MettRNAfMetCAU:1,1.685,5.6,v_net = (k1 * MetRS_MettRNAfMetCAU) - (k1 * MetRS * MettRNAfMetCAU),MetRS|MetRS_MettRNAfMetCAU|MettRNAfMetCAU,true
re0000000230,re0000000232,Met:1|MetRS_tRNAfMetCAU:1,MetRS_Met_tRNAfMetCAU:1,5.0,350.0,v_net = (k1 * MetRS_tRNAfMetCAU * Met) - (k1 * MetRS_Met_tRNAfMetCAU),Met|MetRS_Met_tRNAfMetCAU|MetRS_tRNAfMetCAU,true
re0000000231,re0000000260,MetRS_MetAMP_PPi_tRNAfMetCAU:1,MetRS_MetAMP_tRNAfMetCAU:1|PPi:1,1000.0,0.0,v_net = (k1 * MetRS_MetAMP_PPi_tRNAfMetCAU) - (k1 * MetRS_MetAMP_tRNAfMetCAU * PPi),MetRS_MetAMP_PPi_tRNAfMetCAU|MetRS_MetAMP_tRNAfMetCAU|PPi,true
re0000000233,re0000000234,ATP:1|MetRS_tRNAfMetCAU:1,MetRS_ATP_tRNAfMetCAU:1,10.0,2500.0,v_net = (k1 * MetRS_tRNAfMetCAU * ATP) - (k1 * MetRS_ATP_tRNAfMetCAU),ATP|MetRS_ATP_tRNAfMetCAU|MetRS_tRNAfMetCAU,true
re0000000235,re0000000236,Met:1|MetRS_ATP_tRNAfMetCAU:1,MetRS_Met_ATP_tRNAfMetCAU:1,5.0,350.0,v_net = (k1 * MetRS_ATP_tRNAfMetCAU * Met) - (k1 * MetRS_Met_ATP_tRNAfMetCAU),Met|MetRS_ATP_tRNAfMetCAU|MetRS_Met_ATP_tRNAfMetCAU,true
re0000000237,re0000000238,ATP:1|MetRS_Met_tRNAfMetCAU:1,MetRS_Met_ATP_tRNAfMetCAU:1,10.0,2500.0,v_net = (k1 * MetRS_Met_tRNAfMetCAU * ATP) - (k1 * MetRS_Met_ATP_tRNAfMetCAU),ATP|MetRS_Met_ATP_tRNAfMetCAU|MetRS_Met_tRNAfMetCAU,true
re0000000239,re0000000240,MetRS_Met_ATP_tRNAfMetCAU:1,MetRS_MetAMP_PPi_tRNAfMetCAU:1,200.0,0.0,v_net = (k1 * MetRS_Met_ATP_tRNAfMetCAU) - (k1 * MetRS_MetAMP_PPi_tRNAfMetCAU),MetRS_MetAMP_PPi_tRNAfMetCAU|MetRS_Met_ATP_tRNAfMetCAU,true
re0000000241,re0000000243,MetRS:1|tRNAfMetCAU:1,MetRS_tRNAfMetCAU:1,50.0,150.0,v_net = (k1 * MetRS * tRNAfMetCAU) - (k1 * MetRS_tRNAfMetCAU),MetRS|MetRS_tRNAfMetCAU|tRNAfMetCAU,true
re0000000242,re0000000244,MetRS_Met:1|tRNAfMetCAU:1,MetRS_Met_tRNAfMetCAU:1,50.0,150.0,v_net = (k1 * MetRS_Met * tRNAfMetCAU) - (k1 * MetRS_Met_tRNAfMetCAU),MetRS_Met|MetRS_Met_tRNAfMetCAU|tRNAfMetCAU,true
re0000000245,re0000000246,MetRS_ATP:1|tRNAfMetCAU:1,MetRS_ATP_tRNAfMetCAU:1,50.0,150.0,v_net = (k1 * MetRS_ATP * tRNAfMetCAU) - (k1 * MetRS_ATP_tRNAfMetCAU),MetRS_ATP|MetRS_ATP_tRNAfMetCAU|tRNAfMetCAU,true
re0000000247,re0000000248,MetRS_Met_ATP:1|tRNAfMetCAU:1,MetRS_Met_ATP_tRNAfMetCAU:1,50.0,150.0,v_net = (k1 * MetRS_Met_ATP * tRNAfMetCAU) - (k1 * MetRS_Met_ATP_tRNAfMetCAU),MetRS_Met_ATP|MetRS_Met_ATP_tRNAfMetCAU|tRNAfMetCAU,true
re0000000249,re0000000250,MetRS_MetAMP_PPi:1|tRNAfMetCAU:1,MetRS_MetAMP_PPi_tRNAfMetCAU:1,50.0,150.0,v_net = (k1 * MetRS_MetAMP_PPi * tRNAfMetCAU) - (k1 * MetRS_MetAMP_PPi_tRNAfMetCAU),MetRS_MetAMP_PPi|MetRS_MetAMP_PPi_tRNAfMetCAU|tRNAfMetCAU,true
re0000000251,re0000000252,MetRS_MetAMP:1|tRNAfMetCAU:1,MetRS_MetAMP_tRNAfMetCAU:1,50.0,150.0,v_net = (k1 * MetRS_MetAMP * tRNAfMetCAU) - (k1 * MetRS_MetAMP_tRNAfMetCAU),MetRS_MetAMP|MetRS_MetAMP_tRNAfMetCAU|tRNAfMetCAU,true
