enzyme,time_s,mode,re_lambda_s^-1,im_lambda_s^-1,abs_lambda_s^-1,class_at_reference
GlyRS,1.0000e+03,1,-5.025559e+04,0.000000e+00,5.025559e+04,attracting_stiff
GlyRS,1.0000e+03,0,-5.020076e+04,0.000000e+00,5.020076e+04,attracting_stiff
GlyRS,1.0000e+03,3,-4.153624e+04,0.000000e+00,4.153624e+04,attracting_stiff
GlyRS,1.0000e+03,2,-4.143997e+04,0.000000e+00,4.143997e+04,attracting_stiff
GlyRS,1.0000e+03,8,-1.353013e+03,0.000000e+00,1.353013e+03,attracting_stiff
GlyRS,1.0000e+03,12,-1.100600e+03,0.000000e+00,1.100600e+03,attracting_stiff
GlyRS,1.0000e+03,13,-1.080421e+03,0.000000e+00,1.080421e+03,attracting_stiff
GlyRS,1.0000e+03,11,-1.048399e+03,0.000000e+00,1.048399e+03,attracting_stiff
GlyRS,1.0000e+03,10,-1.001580e+03,0.000000e+00,1.001580e+03,attracting_stiff
GlyRS,1.0000e+03,9,-9.880413e+02,0.000000e+00,9.880413e+02,attracting_stiff
GlyRS,1.0000e+03,7,-3.530000e+02,0.000000e+00,3.530000e+02,attracting_stiff
GlyRS,1.0000e+03,5,-1.221215e+02,0.000000e+00,1.221215e+02,attracting_stiff
GlyRS,1.0000e+03,6,-1.019309e+02,0.000000e+00,1.019309e+02,attracting_stiff
GlyRS,1.0000e+03,4,-2.400933e+01,0.000000e+00,2.400933e+01,near_zero_structural_candidate
