reaction_id,pathway,in_selected_cycle,route_class,reactants,products,k1_author,active_at_reference,subsystem_files
re0000000209,Gly,false,enzyme_cycle_or_branch,GlyRS_GlyAMP:1|tRNAGlyGCC:1,GlyRS_GlyAMP_tRNAGlyGCC:1,353.0,true,Aminoacylation_B_GlyGCC
re0000000210,Gly,false,enzyme_cycle_or_branch,GlyRS_GlyAMP_tRNAGlyGCC:1,GlyRS_GlyAMP:1|tRNAGlyGCC:1,100.0,true,Aminoacylation_B_GlyGCC
re0000000211,Gly,false,degradation_sink,GlyRS_tRNAGlyGCC:1,GlyRS_degraded:1|tRNAGlyGCC:1,0.0,false,Aminoacylation_B_GlyGCC
re0000000212,Gly,false,degradation_sink,GlyRS_ATP_tRNAGlyGCC:1,GlyRS_degraded:1|tRNAGlyGCC:1|ATP:1,0.0,false,Aminoacylation_B_GlyGCC
re0000000213,Gly,false,degradation_sink,GlyRS_Gly_tRNAGlyGCC:1,GlyRS_degraded:1|tRNAGlyGCC:1|Gly:1,0.0,false,Aminoacylation_B_GlyGCC
re0000000214,Gly,false,degradation_sink,GlyRS_Gly_ATP_tRNAGlyGCC:1,GlyRS_degraded:1|tRNAGlyGCC:1|ATP:1|Gly:1,0.0,false,Aminoacylation_B_GlyGCC
re0000000215,Gly,false,degradation_sink,GlyRS_GlyAMP_PPi_tRNAGlyGCC:1,GlyRS_degraded:1|tRNAGlyGCC:1|GlyAMP:1|PPi:1,0.0,false,Aminoacylation_B_GlyGCC
re0000000216,Gly,false,enzyme_cycle_or_branch,tRNAGlyGCC:1|Gly:1,GlytRNAGlyGCC:1,0.0,false,Aminoacylation_B_GlyGCC
re0000000217,Gly,false,enzyme_cycle_or_branch,GlyRS_GlyAMP_tRNAGlyGCC:1|PPi:1,GlyRS_GlyAMP_PPi_tRNAGlyGCC:1,0.0,false,Aminoacylation_B_GlyGCC
re0000000218,Met,false,free_aa_tRNA_decharging,MettRNAfMetCAU:1,tRNAfMetCAU:1|Met:1,0.0,false,Aminoacylation_B_fMetCAU
re0000000219,Met,false,degradation_sink,MetRS_MetAMP_tRNAfMetCAU:1,MetRS_degraded:1|MetAMP:1|tRNAfMetCAU:1,0.0,false,Aminoacylation_B_fMetCAU
re0000000220,Met,true,enzyme_cycle_or_branch,MetRS_MetAMP_tRNAfMetCAU:1,MetRS_AMP_MettRNAfMetCAU:1,13.7,true,Aminoacylation_B_fMetCAU
re0000000221,Met,false,enzyme_cycle_or_branch,MetRS_AMP_MettRNAfMetCAU:1,MetRS_MetAMP_tRNAfMetCAU:1,0.0,false,Aminoacylation_B_fMetCAU
re0000000222,Met,false,enzyme_cycle_or_branch,MetRS_AMP_MettRNAfMetCAU:1,MetRS_MettRNAfMetCAU:1|AMP:1,1000.0,true,Aminoacylation_B_fMetCAU
re0000000223,Met,false,enzyme_cycle_or_branch,MetRS_MettRNAfMetCAU:1|AMP:1,MetRS_AMP_MettRNAfMetCAU:1,0.0,false,Aminoacylation_B_fMetCAU
re0000000224,Met,true,enzyme_cycle_or_branch,MetRS_AMP_MettRNAfMetCAU:1,MettRNAfMetCAU:1|MetRS_AMP:1,1.685,true,Aminoacylation_B_fMetCAU
re0000000225,Met,false,enzyme_cycle_or_branch,MetRS_AMP:1|MettRNAfMetCAU:1,MetRS_AMP_MettRNAfMetCAU:1,5.6,true,Aminoacylation_B_fMetCAU
re0000000226,Met,false,enzyme_cycle_or_branch,MetRS_MettRNAfMetCAU:1,MetRS:1|MettRNAfMetCAU:1,1.685,true,Aminoacylation_B_fMetCAU
re0000000227,Met,false,enzyme_cycle_or_branch,MetRS:1|MettRNAfMetCAU:1,MetRS_MettRNAfMetCAU:1,5.6,true,Aminoacylation_B_fMetCAU
re0000000228,Met,false,degradation_sink,MetRS_AMP_MettRNAfMetCAU:1,MetRS_degraded:1|AMP:1|MettRNAfMetCAU:1,0.0,false,Aminoacylation_B_fMetCAU
